country_name,year,UMAP1,UMAP2,region
Philippines,2025,1.8747305426635585,2.6083761169025803,East Asia & Pacific
Tanzania,1975,0.2806347761192166,0.05871138110851293,Sub-Saharan Africa
Tanzania,1985,0.20918633079908722,0.1682809306690598,Sub-Saharan Africa
Tanzania,1995,0.06599403953932159,0.9372518374035264,Sub-Saharan Africa
Tanzania,2005,0.13779468870542877,1.3803444816181565,Sub-Saharan Africa
Tanzania,2015,0.18054814672850006,1.2615424929568673,Sub-Saharan Africa
Tanzania,2025,0.17863698339842193,1.0148586495230103,Sub-Saharan Africa
Taiwan,1975,2.0471262488403164,-2.1969228075435256,East Asia & Pacific
Taiwan,1985,1.9179733548202358,-2.290328531115303,East Asia & Pacific
Taiwan,1995,-3.5179443802795567,1.6854819072792435,East Asia & Pacific
Taiwan,2005,-3.7503161873779454,1.754080624730339,East Asia & Pacific
Taiwan,2015,-3.7409964051208653,1.646217049510231,East Asia & Pacific
Taiwan,2025,-3.8689737763366856,1.5818732096264267,East Asia & Pacific
Thailand,1975,1.8344282660522304,-0.32132580742145533,East Asia & Pacific
Thailand,1985,1.6715739522018276,-0.017951755373725842,East Asia & Pacific
Thailand,1995,1.5113909993209682,0.29306164518093114,East Asia & Pacific
Thailand,2005,1.4410773966350399,0.40322068467830663,East Asia & Pacific
Thailand,2015,1.8299234066047512,-0.305617837755928,East Asia & Pacific
Thailand,2025,1.552171007160171,0.17142745986675267,East Asia & Pacific
Uganda,1975,3.3850624117889248,-2.7313206480434036,Sub-Saharan Africa
Uganda,1985,2.7289545092620693,-1.5534344004085159,Sub-Saharan Africa
Uganda,1995,0.9746755681820952,0.17627498641704564,Sub-Saharan Africa
Uganda,2005,1.0544786531367145,-0.03605905041004176,Sub-Saharan Africa
Uganda,2015,1.1244618151225887,-0.1885533617427444,Sub-Saharan Africa
Uganda,2025,1.3166364285983883,-0.28392651542926783,Sub-Saharan Africa
Venezuela,1975,1.579080120090469,3.7411105348179245,Latin America & Caribbean
Venezuela,1985,1.612417236331924,3.77646967902874,Latin America & Caribbean
