"country_name","PC1","PC2","PC3","PC4","PC5","PC1_pct","PC2_pct","PC3_pct","PC4_pct","PC5_pct"
"Cape Verde",6.96889454893138,-0.916389991127815,-3.02332771832464,-1.81684716964157,2.66371177713854,76,38,15.1,21.2,89.4
"Central African Republic",-8.19999630134184,6.52280539345267,0.748230771128173,2.51375285132471,1.17525734720624,20.7,98.3,60.3,88.3,69.3
"Chile",10.9720737259292,-1.25987905530161,-0.0783042682087126,-1.80816001545988,-2.01753008988209,87.2,33,47.5,21.8,20.1
"Costa Rica",11.3306987293139,0.259532462028186,-1.43550836454477,-1.33424465603339,-0.706712542149393,88.8,48.6,30.7,33,39.7
"Timor-Leste",4.27009860322858,0.811010529790196,-4.55712755804456,-1.76515840799352,2.68016266696106,65.4,57,5.6,22.9,89.9
"Ecuador",-0.250074296661273,3.43096651885863,0.0188155041039199,-3.09608433366155,0.370238807275554,45.3,83.8,50.3,3.9,58.1
"France",11.1678415020666,-1.03188678938927,2.596059073988,0.830507695853588,-3.16446716441901,87.7,35.8,85.5,65.9,8.4
"Germany",14.8506982961078,-2.82835979087783,2.54316343958328,3.01144998777062,-1.99918498703103,98.3,20.7,84.4,89.9,22.3
"Guatemala",3.14223618358635,4.75718793009968,-3.58089990132504,-2.34709461983475,1.75065609989144,58.1,93.9,9.5,12.3,80.4
"Iran",-10.1646134863079,-0.998413993914457,4.06758822138156,1.87641345538232,0.0851088045996537,14.5,36.9,92.7,83.2,48
"Iraq",-3.27137000710576,4.06159664188232,1.14684930670555,1.3272718305372,0.450445700220161,36.9,89.9,65.9,74.3,58.7
"Ireland",13.5209255595163,-1.90261367492077,-0.648605706488538,2.80881610135547,0.266299189596059,95,25.7,38.5,88.8,53.1
"Italy",9.77019877053736,0.434252162612656,2.14536228654777,-0.934118910887971,0.619199378817799,83.8,51.4,81,44.1,63.1
"Jordan",-0.611983027053564,-1.9984580066253,-0.650270663833259,-1.16932852984953,-3.61404354818238,44.1,24,37.4,40.8,4.5
"Latvia",12.8312394778077,-1.98811777086874,0.192060839593893,1.17277525200291,0.511369014299939,94.4,24.6,52.5,71.5,60.3
"Lesotho",3.57695182303153,1.44423733375859,-2.71534445766501,-0.294519788983005,1.31851046913155,62.6,59.2,18.4,54.2,72.6
"Liberia",1.20686212344712,4.36559520554765,-3.13501382100554,-1.29203617979391,-0.683157509931419,50.8,91.1,13.4,34.6,40.2
"Malawi",2.69909834771751,2.2061965266405,-3.87197940137986,-3.79019263038704,-2.2452169906364,56.4,71.5,7.8,0.6,14.5
"Maldives",1.6011446839409,-0.475065923248781,0.256206141342334,-0.625816646341606,-1.26317858088969,51.4,43.6,53.6,46.9,30.2
"Mongolia",2.91319319448432,0.724127353134545,-0.786644672760063,-2.14183744136373,0.979312782169195,57,55.3,35.2,16.2,67.6
"Morocco",-1.34927279517523,-0.825981507943327,-0.272868526961982,-0.625628214932229,-3.84693190131967,41.9,39.1,43,47.5,3.4
"Netherlands",12.7632169395748,-1.56808950995289,2.71343009011707,1.5848946477342,-0.312119472112928,93.3,29.1,86.6,78.2,43.6
"Panama",5.95544246325026,1.69820588843803,-1.18720987447816,-1.7115724528971,0.711328214600268,72.6,64.8,33,23.5,64.8
"Papua New Guinea",1.0769467060036,2.48535310788495,-6.55349407477082,-0.869026203117744,0.636776003857294,49.7,73.7,1.1,45.3,63.7
"Qatar",-13.1635479097716,-9.60685400185781,-6.03704827666453,1.45009625049159,-2.95439800675772,8.9,1.7,2.2,76.5,9.5
"Sierra Leone",2.23304434927252,3.33423451587066,-2.06308748604097,-1.32864366964452,-2.11786717957654,54.2,81.6,22.3,33.5,18.4
"Spain",12.5264064457649,-0.589267732846325,2.77194118657162,2.19862527699307,0.53047201953931,92.7,42.5,87.7,85.5,60.9
"Syria",-11.5765510174454,2.19889367472843,-2.23141603149105,5.34313776346452,-1.50842525782019,11.7,70.9,20.1,97.8,26.8
"Tunisia",0.113587654463387,0.799695926572953,2.2171750836835,1.72916024535934,-2.92108793975723,45.8,56.4,81.6,79.9,10.1
"Türkiye",-7.35054204790921,1.76825680083234,6.31737545568511,-2.04037775698133,-0.733092875060422,24,65.9,99.4,17.9,38.5
"Ukraine",-1.47130915742482,-0.166901966360625,3.09994429194185,1.69086894610811,1.44348371838194,41.3,45.8,89.4,79.3,74.3
"United Kingdom",9.4704210419156,-1.85836548916283,1.74114104333033,1.10385530424195,-1.80847802563437,81.6,26.3,75.4,70.9,24
"Uruguay",11.5694763498411,-3.02801218459181,-2.72720552703146,-2.76172134728262,-0.799995241933796,89.9,19.6,17.3,6.7,37.4
"Algeria",-8.5282574251109,-4.02761357856634,-0.0196950440471521,-1.19579379896732,2.09978964935189,19,13.4,48.6,39.1,83.2
"Angola",-4.29561339131795,0.622829574373745,-2.72085512470952,-3.10206708948388,0.738844483307443,35.2,54.2,17.9,3.4,65.4
"Armenia",3.11020128318401,4.27100082906452,5.34310932456733,1.97236724256249,4.02190177764205,57.5,90.5,97.8,84.9,96.6
