country_name,iso3,stakeholder,satisfaction
Republic of the Congo,COG,Powerbrokers,0.9365903402243441
Romania,ROU,Magicians,0.5317931275719108
Romania,ROU,Workhorses,0.5982496522357004
Romania,ROU,Rentiers,0.411454473948181
Romania,ROU,Powerbrokers,0.231123111152313
Russia,RUS,Magicians,0.42212724069519336
Russia,RUS,Workhorses,0.31450033907907116
Russia,RUS,Rentiers,0.47317130720377915
Russia,RUS,Powerbrokers,0.48777463613608973
Rwanda,RWA,Magicians,0.3816241206399477
Rwanda,RWA,Workhorses,0.36585158720134403
Rwanda,RWA,Rentiers,0.3750344058583587
Rwanda,RWA,Powerbrokers,0.3331440622972096
Saudi Arabia,SAU,Magicians,0.457131694814276
Saudi Arabia,SAU,Workhorses,0.3711843597011364
Saudi Arabia,SAU,Rentiers,0.4700257138275584
Saudi Arabia,SAU,Powerbrokers,0.3628789283396681
Senegal,SEN,Magicians,0.4838838565859453
Senegal,SEN,Workhorses,0.5669981041078963
Senegal,SEN,Rentiers,0.4895212649270188
Senegal,SEN,Powerbrokers,0.686022527115973
Serbia,SRB,Magicians,0.5704259948065588
Serbia,SRB,Workhorses,0.5265819633393832
Serbia,SRB,Rentiers,0.4986031781032603
Serbia,SRB,Powerbrokers,0.3069783072216557
Seychelles,SYC,Magicians,0.5551149300369514
Seychelles,SYC,Workhorses,0.8337334239933732
Seychelles,SYC,Rentiers,0.4440787678652171
Seychelles,SYC,Powerbrokers,0.6770186335403727
Sierra Leone,SLE,Magicians,0.3877699468004522
Sierra Leone,SLE,Workhorses,0.4878060142628156
Sierra Leone,SLE,Rentiers,0.45967046150984464
Sierra Leone,SLE,Powerbrokers,0.8495295262816354
Singapore,SGP,Magicians,0.726275481555321
Singapore,SGP,Workhorses,0.7949172255902363
Singapore,SGP,Rentiers,0.48807520863853177
Singapore,SGP,Powerbrokers,0.009328358208955223
Slovakia,SVK,Magicians,0.5442789303824853
Slovakia,SVK,Workhorses,0.6191418541066034
Slovakia,SVK,Rentiers,0.42756603848660324
Slovakia,SVK,Powerbrokers,0.16711087420042642
Slovenia,SVN,Magicians,0.6075347643660175
Slovenia,SVN,Workhorses,0.7111287626765852
Slovenia,SVN,Rentiers,0.4722617041885594
Slovenia,SVN,Powerbrokers,0.31057059423379996
Somalia,SOM,Magicians,0.3132684680422646
Somalia,SOM,Workhorses,0.20836817406373848
Somalia,SOM,Rentiers,0.5118181075663867
Somalia,SOM,Powerbrokers,0.9658153332715306
South Africa,ZAF,Magicians,0.5658641285066732
South Africa,ZAF,Workhorses,0.6857447888603788
South Africa,ZAF,Rentiers,0.4814621312969411
South Africa,ZAF,Powerbrokers,0.3932743116714564
South Korea,KOR,Magicians,0.7200935643898886
South Korea,KOR,Workhorses,0.8271447484492324
South Korea,KOR,Rentiers,0.5238454727390816
South Korea,KOR,Powerbrokers,0.21870075090386576
Spain,ESP,Magicians,0.685277947546303
Spain,ESP,Workhorses,0.828321993155045
Spain,ESP,Rentiers,0.5352209890625255
Spain,ESP,Powerbrokers,0.3416149068322981
Sri Lanka,LKA,Magicians,0.5165000736093592
Sri Lanka,LKA,Workhorses,0.7128790736100223
Sri Lanka,LKA,Rentiers,0.4298373203405516
Sri Lanka,LKA,Powerbrokers,0.5083549643088904
Sudan,SDN,Magicians,0.27411960089389914
Sudan,SDN,Workhorses,0.14557077624480258
Sudan,SDN,Rentiers,0.49501893214882153
Sudan,SDN,Powerbrokers,0.9483985352739408
Suriname,SUR,Magicians,0.5135048641474859
Suriname,SUR,Workhorses,0.6007972159565407
Suriname,SUR,Rentiers,0.5180073025628817
Suriname,SUR,Powerbrokers,0.7080745341614907
Sweden,SWE,Magicians,0.730506269965552
Sweden,SWE,Workhorses,0.8926063101354769
Sweden,SWE,Rentiers,0.5346484537577484
Sweden,SWE,Powerbrokers,0.22360248447204967
Switzerland,CHE,Magicians,0.7642133260065637
