code,name,category,PC1,PC2,PC3,PC4
v2edteautonomy,Teacher autonomy in the classroom,Education,-0.0690083237080706,0.06841847379829674,0.03320631206210719,0.058698995227376316
v2lgstafflo,Lower chamber staff,Legislature,0.043438762084382194,-0.057074396991292624,0.06638534516739794,-0.009769545758092373
v2edmath,Mathematics and science education,Education,0.003725750750260532,0.0067662111645341964,0.03005810252609938,0.03048446486955992
v2edtequal,Education requirements for primary school teachers,Education,0.04730902139697133,0.048583949527111994,0.08745891026393098,-0.005661001944839087
v2temonitor,Teacher inspection,Technology & Media Environment,-0.0060333852321626,0.04397718630668136,0.07878702507262492,0.04090835978680167
v2edteunion,Presence of teacher unions,Education,0.0537102129062685,-0.05619829622081665,0.11687186918280802,-0.05128695159564384
v2edteunionindp,Independent teacher unions,Education,-0.06900987138211886,0.07216764175395729,0.08581613057409683,0.008604445871999123
v2edtehire,Political teacher hiring,Education,-0.06968637983708785,0.041629774585177234,0.071113006041322,-0.0391020696306208
v2edtefire,Political teacher firing,Education,-0.07771147701247849,0.08833428712835731,0.04698088579311249,-5.338041841095337e-4
v2edscpatriot,Presence of patriotic symbols in schools,Education,-0.03833351255264145,0.022262073492854677,0.09664501612353411,0.1412218705987884
v2elrgstry,Election voter registry,Elections,0.08132426556322801,0.03857192329621039,-0.03774631381867802,-0.025449202708268934
v2svstterr,State authority over territory,Sovereignty,0.039513094766119194,0.12113636088837013,0.02966927267362098,0.12285740669686598
v2edscpatriotcb,Celebration of patriotic symbols,Education,-0.04975166093871978,0.0026009031939398736,0.13213735876894744,0.12333016066799807
v2edscextracurr,Extracurricular activities,Education,-0.010168223125578081,0.045228462595173095,0.0944871949259957,-0.03806498960550488
v2medstateprint,State-owned print media,Media,-0.0772849809952246,0.08840137718237144,0.04732727757568501,0.010416874120876593
v2medstatebroad,State-owned broadcast media,Media,-0.05098662271247493,0.126316087578092,0.016830131717686547,-0.0604231687268084
v2medpolstate,"Political influence, state-owned media",Media,-0.07437678047571669,0.03892143601251218,0.0865148426263467,0.01695558516824146
v2medpolnonstate,"Political influence, non state-owned media",Media,-0.06802915278985568,0.0037807253757491176,0.07139694044302757,0.08229157181041821
v2medpatriot,Patriotism in the media,Media,-0.06440704172561162,0.04143416478354958,0.09749748848397254,0.059398907204504685
v2ellocpwr,Local offices relative power,Elections,0.0785742253438021,-0.035476837896994164,0.006938161188377515,-0.02726015944842784
v2mecenefm,Government censorship effort --- Media,Media,0.10267379586013817,-0.05997868470849717,-0.0078255980570789,0.01753126534826619
v2medentrain,Control of entertainment content,Media,-0.08184801244528041,0.07855784132815415,0.04069041468635592,-0.011491441726603295
v2meharjrn,Harassment of journalists,Media,0.10163234073171605,-0.04571682722916337,0.0016203899314056489,0.0060544589725014695
v2exremhog,HOG removal by legislature in practice,Executive,0.06833969733296456,-0.03634618959898885,-0.054054404247597346,-0.10737798977767274
v2dlcountr,Respect counterarguments,Deliberation,0.09250174097527525,-0.07686984683394593,0.01693965378502651,0.04144450759964988
v2csantimv,CSO anti-system movements,Civil Society,-0.04706375717398343,-0.1227857708271232,0.038957989763158125,-0.14615059150536755
v2lgcomslo,Lower chamber committees,Legislature,0.07971913728265098,-0.044268894265215006,0.06066821846016908,-0.02814655430029486
v2jureform,Judicial reform,Judiciary,0.04726286572322329,-0.03091148784058019,0.02429041885626746,0.10060143709352026
v2jupoatck,Government attacks on judiciary,Judiciary,0.0416122383560374,0.10774274872822806,-0.0778086977817664,0.08982951988521558
v2dlconslt,Range of consultation,Deliberation,0.09692858206745196,-0.031423600584156566,0.014848327940729966,0.02560803203198489
v2stfisccap,State fiscal source of revenue,State Capacity,0.07896607859186075,0.03112480810260742,0.03297029903820337,-0.025130954137983455
v2stcritrecadm,Criteria for appointment decisions in the state administration,State Capacity,0.07880757129567735,0.03552439076289799,-0.03845063531898947,-0.010636676112973517
v2exremhsp,HOS removal by legislature in practice,Executive,0.04315915508914767,-0.05589719970269347,-0.011304948292982576,-0.06184128249752951
v2pssunpar,Subnational party control,Political Parties,0.08557195124288329,-0.09293137026398728,0.005522002643002003,-0.060034135748718576
v2dlencmps,Particularistic or public goods,Deliberation,0.07732031910735422,0.0870855721341143,0.015857868476414877,0.03669794671396471
v2elpdcamp,Election paid campaign advertisements,Elections,0.0628570560240053,-0.08200479277354712,0.010133587164327645,0.03447175483880036
v2pepwrgeo,Power distributed by urban-rural location ,Political Equality,0.07436831092261399,0.04490356646490801,0.0145687242437638,-0.06008115817441595
v2clgencl,Gender equality in respect for civil liberties ,Civil Liberties,0.0779302329541321,0.056078748374777616,0.17168503623504897,-0.06041330785129145
v2edcentcurrlm,Centralized curriculum,Education,-0.031575239626015335,0.031985506492989244,0.10601499654502543,0.032285090119189494
v2edpatriot,Patriotic education in the curriculum,Education,-0.0564315046069237,0.04655896432084701,0.14056203739284326,0.048227393883211636
